181 2
32.00	1.00
33.00	1.00
34.00	1.00
35.00	1.00
36.00	1.00
37.00	1.00
38.00	1.00
39.00	1.00
40.00	1.00
41.00	1.00
42.00	1.00
43.00	1.00
44.00	1.00
45.00	1.00
46.00	1.00
47.00	1.00
48.00	1.00
49.00	1.00
50.00	1.00
51.00	1.00
52.00	1.00
53.00	1.00
54.00	1.00
55.00	1.00
56.00	1.00
57.00	1.00
58.00	1.00
59.00	1.00
60.00	1.00
61.00	1.00
62.00	1.00
63.00	1.00
64.00	1.00
65.00	1.00
66.00	1.00
67.00	1.00
68.00	1.00
69.00	1.00
70.00	1.00
71.00	1.00
72.00	1.00
73.00	1.00
74.00	1.00
75.00	1.00
76.00	1.00
77.00	1.00
78.00	1.00
79.00	1.00
80.00	1.00
81.00	1.00
82.00	1.00
83.00	1.00
84.00	1.00
85.00	1.00
86.00	1.00
87.00	1.00
88.00	1.00
89.00	1.00
90.00	1.00
91.00	1.00
92.00	1.00
93.00	1.00
94.00	1.00
95.00	1.00
96.00	1.00
97.00	1.00
98.00	1.00
99.00	1.00
100.00	1.00
101.00	1.00
102.00	1.00
103.00	1.00
104.00	1.00
105.00	1.00
106.00	1.00
107.00	1.00
108.00	1.00
109.00	1.00
110.00	1.00
111.00	1.00
112.00	1.00
113.00	1.00
114.00	1.00
115.00	1.00
116.00	1.00
117.00	1.00
118.00	1.00
119.00	1.00
120.00	1.00
121.00	1.00
122.00	1.00
123.00	1.00
124.00	1.00
125.00	1.00
126.00	1.00
127.00	1.00
128.00	1.00
129.00	1.00
130.00	1.00
131.00	1.00
132.00	1.00
133.00	1.00
134.00	1.00
135.00	1.00
136.00	1.00
137.00	1.00
138.00	1.00
139.00	1.00
140.00	1.00
141.00	1.00
142.00	1.00
143.00	1.00
144.00	1.00
145.00	1.00
146.00	1.00
147.00	1.00
148.00	1.00
149.00	1.00
150.00	1.00
151.00	1.00
152.00	1.00
153.00	1.00
154.00	1.00
155.00	1.00
156.00	1.00
157.00	1.00
158.00	1.00
159.00	1.00
160.00	1.00
161.00	1.00
162.00	1.00
163.00	1.00
164.00	1.00
165.00	1.00
166.00	1.00
167.00	1.00
168.00	1.00
169.00	1.00
170.00	1.00
171.00	1.00
172.00	1.00
173.00	1.00
174.00	1.00
175.00	1.00
176.00	1.00
177.00	1.00
178.00	1.00
179.00	1.00
180.00	1.00
181.00	1.00
182.00	1.00
183.00	1.00
184.00	1.00
185.00	1.00
186.00	1.00
187.00	1.00
188.00	1.00
189.00	1.00
190.00	1.00
191.00	1.00
192.00	1.00
193.00	1.00
194.00	1.00
195.00	1.00
196.00	1.00
197.00	1.00
198.00	1.00
199.00	1.00
200.00	1.00
201.00	1.00
202.00	1.00
203.00	1.00
204.00	1.00
205.00	1.00
206.00	1.00
207.00	1.00
208.00	1.00
209.00	1.00
210.00	1.00
211.00	1.00
212.00	1.00
