50 3
1.00		-0.60	-0.15
1.00		-0.30	-0.15
1.00		-0.12	-0.09
1.00		0.00	0.00
1.00		0.10	0.12
1.00		0.18	0.26
1.00		0.24	0.43
1.00		0.30	0.60
1.00		0.35	0.79
1.00		0.40	0.99
1.00		0.44	1.21
1.00		0.48	1.43
1.00		0.51	1.66
1.00		0.54	1.90
1.00		0.57	2.15
1.00		0.60	2.41
1.00		0.63	2.67
1.00		0.65	2.94
1.00		0.68	3.21
1.00		0.70	3.49
1.00		0.78	4.67
1.00		0.85	5.92
1.00		0.90	7.22
1.00		0.95	8.59
1.00		1.00	10.00
1.00		1.04	11.46
1.00		1.08	12.95
1.00		1.11	14.48
1.00		1.15	16.05
1.00		1.18	17.64
1.00		1.20	19.27
1.00		1.23	20.92
1.00		1.26	22.59
1.00		1.28	24.30
1.00		1.30	26.02
1.00		1.32	27.77
1.00		1.34	29.53
1.00		1.36	31.32
1.00		1.38	33.13
1.00		1.40	34.95
1.00		1.41	36.79
1.00		1.43	38.65
1.00		1.45	40.52
1.00		1.46	42.41
1.00		1.48	44.31
1.00		1.49	46.23
1.00		1.51	48.16
1.00		1.52	50.11
1.00		1.53	52.07
1.00		1.54	54.04
